name,cost
Crutch-Metalic Elbow adult,48000
Crutch-Metalic Elbow child,35000
Crutches (wooden) 1pc Adult,23000
Cruthes (Wooden) 1pc Children,12000
Cryotherapy,68000
Cystectomy,539000
Cystogastrostomy,837000
Cystolithotomy,297000
Cystoscopy,108000
DM Consultation,10000
DVU,611000
Daycare fees,30000
Dead Body Storage,35000
Death Certificate,10000
Debridement ,429000
Desloughing ,344000
Desloughing -on ward,53000
Dialysis (Catheter Insertion),266000
Dialysis (First Sessions),2000000
Dialysis Per Session,300000
Dilatation without Anaesthesia,22000
Direct Lamngoscopy,357000
Disarticulation (Elbow or Knee),461000
Disarticulation (Shoulder or Hip),469000
Disarticulation (Toe or Finger),215000
Disarticulation (wrist or ankle),185000
Disposable Maternity Mat,7500
Distilled  water- 20L,20000
Division (Tongue tie) Release,44000
Dorsal slit Circumcission,150000
Drainage (Pelvic Haematoma),357000
Drainage [Pelvic abscess],357000
Drainage [liver amoebicliver abscess,682000
Dressing,321000
Dressing burns - ward,32000
Dressing-OPD/Ward/OPDth w/o anaesthesia,30000
ELECTROLYTES [Na+  K+  CL],24000
Ear Swabs,66400
Ear syringing,39000
Elastic bandage 10cm x 4m,1400
Electrodes,3200
Endotracheal Tube 6mm,4000
Endotracheal Tube 7.5mm,6000
Endotracheal tube size 3.,4000
Energy Saver Pin W,9000
Episiotomy repair,64000
Esophageal Banding,700000
Esophagectomy,728000
Esotropia correction,120000
Evacuation of Haemorrhoids,227000
Evisceration,94000
Examination of Breast,20000
Examination under anaethesia (EUA),182000
Excision - eye clinic,144000
Excision under GA,334000
Exentration,94000
Exotropia correction,120000
Exploratory Laparatomy,900000
External FB,10000
Eye lid repair/Cannalicular intubation,396000
Fasciotomy + Repair of Femoral Artery,651000
Fashioning of finger/toe,61000
Fidroadenoma Breast,207000
Fine Needle Aspiration Cytology (FNAC),102000
Fistulectomy,440000
Foreign Body Removal in Ear,29000
Fractional Curettage,207000
Fronto-nasal Drainage,362000
Gastrectomy,606000
Gastric Lavage,38000
Gastro-Jejunostomy,837000
Gastrocystostomy,837000
Gastrostomy tube feeding,212000
Gastrostomy tube feeding Insertion,106000
General eye check up (for D/permits),20000
Graham Omentopexy,643000
HARTMAN PROCEDURE,100000
Haemorrhoidectomy,588000
Haemostasis,279000
Heller's Procedure,1087000
Hemiarthroplasty,767000
Hemicolectomy,913000
Hemorrhoidopexy,794000
Herniorrhaphy,768000
Herniotomy,331000
Hiatus Hernia - Belsey Mark IV Repair,996000
Hospitalisation (ICU Ordinary Bed),150000
Hospitalisation - baby unit,30000
Hospitalisation ICU - Neonatal,200000
Hydrocelectomy,301000
Hypospadias repair,348000
Hysterotomy,428000
I&C for Chalazion,52000
I&D - Eye clinic,10000
IOL removal/repositioning,101000
Implant Removal (IUD),205000
Implant Removal -Local Anaesthesia (LA),87000
Implant Removal,407000
In-growing toe/finger Nail,48000
Incision & Drainage (I&D),94000
Intensive Care Unit (ICU),350000
Intermaxillary Fixation,1500000
Internal Anal Sphincterectomy,100000
Intra Uterine Contraceptive Device (IUCD),184000
Intra-articular Injection,20000
Intubation,509000
K-Nailing,676000
Keloids Removal,308000
LCSC(Lower segment Caeserian section),780000
LCSC-(Caesarian Section) Package,1870000
Laminectomy/Discectomy,1339000
Laparascopic Cystectomy,1520000
Laparascopic Salpingectomy,2458000
Laparascopic Total Hysterectomy (Package Fee),4200000
Laparatomy,837000
Laparoscopic Cholecystectomy,2573000
Laparoscopic Hysterectomy,2500000
Laparoscopic appendectomy,2317000
Laparoscopy - diagnostic,367000
Laryngoscopy,350000
Lensectomy,267000
Lid Laceration,199000
Lid rotation,164000
Linear Cutter (SR55+NTLG55) ,662500
Lingulectomy,934000
Lipoma Excision ,328000
Lobectomy,1200000
Lumber Puncture,39000
Lymphnode Biosy,197000
MAD (Lord's Operation),236000
Macdonald Stitch - Removal (ward),85000
Macdonald Stitch Insertion,219000
Manchester repair,245000
Manipulation + pop (OPD - Adult),127000
Manipulation + pop (OPD - Child),108000
Manual Removal of the Placenta-Theatre,222000
Manual Removal(Placenta)-on ward,100000
Marriz II Pouch,1380000
Marsuplisation,352000
Mastectomy,702000
Mastoidectomy,560000
Mastoplasty OPD,289000
Maxillectomy,1900000
Menicectomy,927000
Mortuary embalming - adult,116000
Mortuary embalming - child,66000
Myomectomy,621000
NG Tube insertion,16000
Nephrectomy,561000
Nibbling Bone (Bone Nibbling),65000
Normal Delivery,72000
Nursing Care - HDU,100000
Nursing Care - New Postnatal/Caesar ward,20000
Nursing care - ICU,200000
Nursing care-baby unit,12000
OPD Specialised clinics consultation,20000
ORIF,699000
Oesophagectomy,1270000
Oesophagectomy B,2270000
Ophorectomy,461000
Orchidectomy,575000
Orchidopexy,276000
Osteotomy + POP,703000
Osteotomy,660000
Ovarian Wedge Resection,457000
POP - Adult (per limb),48000
POP Child (per limb),49000
POP Hip Spica,95000
POP Removal + Reapplication,55000
POP Removal,20000
POP Under GA,85000
PUJO & Retroperitoneum fibrosis,1270000
PYELEROPLASTY,524000
Partial Blood Exchange,113200
Pericardiotomy,189000
Peritoneal Lavage,435000
Phimosis (Dilatation),55000
Physiotherapy,30000
Pin Removal,82000
Pin fixation - Finger,78000
Pin fixation - finger (under GA),229000
Pinning (Elbow),456000
Pinning (Foot),256000
Pinning (Hip),456000
Pinning (Wrist),456000
Placenta Delivery,35000
Plates,74000
Plates and screws,169000
Pleural tap,23000
Pneumonectomy,1250000
Polypectomy,413000
Post Morten Report,400000
Post-mortem,1000000
Posterior Saggital Anorectal Plasty,710000
Posterolateral thoracotomy,932000
Postmortem Hystorotomy,180000
Postnatal examination,6000
Probing Surgery - Eye Clinic,45000
Proctoscopy,61000
Prostatectomy,592000
Prostatic Procedure ,63000
Pterygium Excision,85000
Punch Procedure,460000
Pyeloplasty,456000
Pyosalpinx,386000
Quadriceps Plasty,1186000
Radical Hysterectomy,767000
Radical Prostetictomy/Rectal Colostomy,925000
Ramstedis Operation,360000
Re-construction (Pinna) under GA,271000
Reconstructive surgery,730000
Rectal Wash Out,32000
Reduction & immobilisation - OPD theatre,84000
Reduction - Jaw (OPD theatre),48000
Reduction due to Intussusception (child),328000
Reduction of fructure - GA [OPD theatre],138000
Reduction of the prolapse,48000
Refashioning (Crushed Limb) ,301000
Refashioning Ear,179000
Refashioning Finger,479000
Refashioning Tongue,179000
Removal of Catheter,23000
Removal of Chest tubes,64000
Removal of Plates under GA,259000
Removal of Screw Under GA,166000
Removal of Stitches,22000
Removal of Stitches under GA,56000
Removal of Wire,85000
Removal of foreign body (under GA),138000
Removal of foreign body (under LA),58000
Removal of macdonald stich (theatre),99000
Repair of Cervical tear,363000
Request-Provisional Bill Printout,5000
Resection + Anastomosis,720000
Review of Wound,183000
SPC - Replacement,70000
SPC,110000
STS - OPD/OPD theatre - Local anaesthesia,52000
STS With Tendons,621000
Salpingectomy (Ectopic Pregnancy),458000
Salpingo - Oophorectomy,587000
Salpingolysis,242000
Salpingoplasty,469000
Salpingostomy,469000
Saphenous Vein Avulsion,363000
Sclerotherapy,650000
Scotchcast/Dynecast Appilication,35000
Scrotoplasty,588000
Separation of Labia,64000
Sequestrectomy,658000
Sigmoid Colectomy,752000
Sigmoidectomy,752000
Sigmoidoscopy,101000
Silver nitrate pencil,8000
Sinus stitch Incision,78000
Skeletal Traction,400000
Skin Grafting,766000
Skin Traction,300000
Skull Traction,600000
Slitting Under GA,184000
Speculum Examination - Theatre,68000
Speculum Examination on ward,20000
Spina Bifida Repair,587000
Spinal debridement,1195000
Splenectomy,823000
Splenorenal shunt,2347000
Splint application,61000
Squit Correction,140000
Staging,340000
Stain man's pin insertion,108000
Stappled Haemorrhoidopexy,1868000
Stent Removal,606000
Sub-Facial Ligation,669000
Subtotal Hysterectomy,797000
Subcutaneous pinning under GA,108000
Suction Curretage,207000
Surgical Toilet & Suturing (STS) Theatre,183000
Surgical Toilet (ST),200000
Surgical Toilet and Suturing (STS),519000
Suture romoval,32000
Synovectomy,419000
Sypropubic catheterisation,419000
TAH & Single Salpingo oophorectomy ,642750
TAH-BSO,500000
TENDON RELEASE,228000
Tendon Repair + POP,949000
Tendon Repair,396000
Tendon transfer + POP,762000
Tension Suturing,429000
Thiersch Stitch,77000
Third Degree Tear Repair + Perineorrhaphy,422000
Thyroglossal cyst Excision,582000
Thyroidectomy,1208000
Tibial Brace,68000
Tieng of Extra Digit,36000
Tonsillectomy,734000
Total Abdominal Hysterectomy (TAH),658000
Total Hip Replacement,752000
Total Knee Replacement,849000
Trabeculectomy,200000
Tracheal Lavage,64000
Tracheostomy,500000
Transverse Colectomy,608000
Trigger Finger Release,228000
Tubal Wash (Hydrotubation),219000
Turp + DVU,762000
Ultrasound guided - FNAC,132000
Ultrasound guided Liver abscess drainage,158000
Ultrasound guided biopsy[no histology],132000
Under Water Seal Drainage (UWSD),273000
Ureteric Reimplantation,592000
Urethoscopy,140000
Urethra Dilatation,315000
Urethral valve ablation,245000
Urethroplasty ,792000
Urethrotomy,835000
Uterus repair,622000
VENOUS CUT DOWN,43000
VP Shunt,580000
VVF Repair,797000
Vacuum Extraction,146000
Vaginal Examination,24000
Vaginal Hysterectomy + BSO,696000
Vaginal Hysterectomy,466000
Varicocoelectomy,616000
Vasectomy,232000
Vein Sclerotherapy,200000
Ventilation fees - per day,342000
Ventilator Support -Emergency,30000
Venus stripping,358000
Vesicostomy Closure,518000
Weirtheim's Hysterectomy,871000
Wheel chair,21000
Window Pericardrotomy and Drainage,437000
Wire Trimming - Knee (under GA),210000
Z-Plasty,275000
